id,question,reference_document,reference_h1,reference_h2,reference_h3,reference_path,expected_answer
1,Why is authentication required for OpenAI API requests?,authentication.md,Authentication,Overview,,Authentication > Overview,"Authentication allows OpenAI to identify your project, apply usage limits, attribute billing correctly, and authorize access to models and services."
2,What header must be included in every authenticated OpenAI API request?,authentication.md,Authentication,How Authentication Works,,Authentication > How Authentication Works,"Every request includes an Authorization header: Authorization: Bearer YOUR_API_KEY. The server validates the key before processing the request."
3,What is the recommended way to store an OpenAI API key in Python applications?,authentication.md,Authentication,Storing API Keys Securely,,Authentication > Storing API Keys Securely,"Avoid hardcoding keys. Instead, store them in environment variables and access them with os.environ."
4,What are some possible causes of an invalid API key error?,authentication.md,Authentication,Common Errors,Invalid API Key,Authentication > Common Errors > Invalid API Key,"Typo; Deleted or inactive key."
5,Can I expose my API key in browser JavaScript?,authentication.md,Authentication,FAQ,Can I expose my API key in browser JavaScript?,Authentication > FAQ > Can I expose my API key in browser JavaScript?,"No. Always send requests through a trusted backend."
6,What types of applications commonly use embeddings?,embeddings.md,Embeddings,Common Uses,,Embeddings > Common Uses,"Semantic search, document retrieval, question answering, recommendation systems, and clustering and classification."
7,What are the main steps in a typical RAG workflow that uses embeddings?,embeddings.md,Embeddings,Typical RAG Workflow,,Embeddings > Typical RAG Workflow,"1. Load documents. 2. Split documents into chunks. 3. Create an embedding for each chunk. 4. Store vectors in a vector database. 5. Embed the user's question. 6. Retrieve the nearest chunks. 7. Send the retrieved context to the Responses API."
8,How is similarity search performed in an embeddings-based system?,embeddings.md,Embeddings,Similarity Search,,Embeddings > Similarity Search,"When a user asks a question, create an embedding for the query and compare it with stored document vectors using a similarity metric such as cosine similarity."
9,What should you do if you switch to a different embedding model?,embeddings.md,Embeddings,Best Practices,,Embeddings > Best Practices,"Re-embed documents if you change embedding models."
10,Can embeddings generate answers directly?,embeddings.md,Embeddings,FAQ,Can embeddings generate answers?,Embeddings > FAQ > Can embeddings generate answers?,"No. Embeddings support retrieval. Language models generate the final answer."
11,What kinds of tasks can function calling help automate?,function-calling.md,Function Calling,Common Use Cases,,Function Calling > Common Use Cases,"Weather lookups, database queries, calendar events, order status, and internal business APIs."
12,What are the steps involved in the basic function-calling workflow?,function-calling.md,Function Calling,Basic Flow,,Function Calling > Basic Flow,"1. Send the user's question and tool definitions. 2. The model decides whether a tool is needed. 3. Your application executes the requested function. 4. Return the tool result to the model. 5. The model generates the final answer."
13,What are some recommended practices when implementing function calling?,function-calling.md,Function Calling,Best Practices,,Function Calling > Best Practices,"Keep tool descriptions clear. Validate all function arguments. Handle failures gracefully. Return structured data. Only expose trusted functions."
14,What mistakes should developers avoid when using function calling?,function-calling.md,Function Calling,Common Mistakes,,Function Calling > Common Mistakes,"Letting the model execute arbitrary code, skipping argument validation, and returning inconsistent data formats."
15,Does the language model execute application code directly?,function-calling.md,Function Calling,FAQ,Does the model execute my code?,Function Calling > FAQ > Does the model execute my code?,"No. Your application executes the function after receiving the tool call."
16,What factors should be considered when selecting a model for an application?,models.md,Models,Choosing a Model,,Models > Choosing a Model,"Consider task complexity, response quality, latency requirements, cost, context window, and multimodal support."
17,What types of tasks are language models commonly used for?,models.md,Models,Model Categories,Language Models,Models > Model Categories > Language Models,"Language models are used for chatbots, question answering, summarization, content generation, and code assistance."
18,What are embedding models used for?,models.md,Models,Model Categories,Embedding Models,Models > Model Categories > Embedding Models,"Embedding models convert text into numerical vectors for semantic search, Retrieval-Augmented Generation (RAG), recommendation systems, and clustering."
19,What are some common mistakes developers make when choosing or using models?,models.md,Models,Common Mistakes,,Models > Common Mistakes,"Using a language model to generate embeddings, mixing embedding models within the same vector index, and choosing the largest model for every task."
20,Which models are typically combined in a RAG system?,models.md,Models,FAQ,Which model should I use for RAG?,Models > FAQ > Which model should I use for RAG?,"A common architecture combines an embedding model for retrieval with a language model for answer generation."
21,What capabilities does the Responses API support?,responses-api.md,Responses API,Overview,,Responses API > Overview,"It supports text generation, structured outputs, multimodal inputs, streaming, and tool calling."
22,What information can be included in a Responses API request?,responses-api.md,Responses API,Request Components,,Responses API > Request Components,"A request can include the model, input, tools, stream, temperature, and max_output_tokens fields."
23,What kinds of prompts can be passed as input to the Responses API?,responses-api.md,Responses API,Understanding Input,,Responses API > Understanding Input,"The input can be a simple prompt or a long-form prompt containing detailed instructions and retrieved context for RAG applications."
24,What are some best practices when working with the Responses API?,responses-api.md,Responses API,Best Practices,,Responses API > Best Practices,"Keep prompts focused, reuse the client object, log latency and token usage, handle API errors gracefully, and send only relevant context in RAG systems."
25,How does the Responses API fit into a Retrieval-Augmented Generation pipeline?,responses-api.md,Responses API,Responses API in RAG,,Responses API > Responses API in RAG,"In a RAG pipeline, the user question is processed by a retriever, relevant chunks are passed to a prompt builder, and the Responses API generates the final answer."
26,Why does streaming improve the user experience?,streaming.md,Streaming,Overview,,Streaming > Overview,"Streaming allows an application to receive a model's output incrementally instead of waiting for the complete response. This improves perceived responsiveness and provides a better user experience for longer generations."
27,In which situations is streaming particularly useful?,streaming.md,Streaming,Why Use Streaming?,,Streaming > Why Use Streaming?,"Streaming is useful when responses are long, low perceived latency is important, building chat applications, and displaying generated text as it arrives."
28,What steps do applications typically follow when handling streaming responses?,streaming.md,Streaming,Handling Events,,Streaming > Handling Events,"Applications typically open a streaming connection, process incoming events, append new text to the UI, detect completion, and close the stream."
29,What mistakes should developers avoid when implementing streaming?,streaming.md,Streaming,Common Mistakes,,Streaming > Common Mistakes,"Assuming the full response arrives in one event, ignoring connection errors, and blocking the UI while waiting for tokens."
30,Can streaming be used with Retrieval-Augmented Generation (RAG)?,streaming.md,Streaming,FAQ,Can streaming be used with RAG?,Streaming > FAQ > Can streaming be used with RAG?,"Yes. Retrieve relevant context first, then stream the generated answer."
