question,expected_path,top_1,top_2,top_3,top_4,top_5,hit@1,hit@3,hit@5,mrr,method
Why is authentication required for OpenAI API requests?,Authentication > Overview,Authentication > FAQ > Can I expose my API key in browser JavaScript?,Authentication > Summary,Authentication > Storing API Keys Securely,Authentication > How Authentication Works,Authentication > Creating an API Key,0,0,0,0.0,text
What header must be included in every authenticated OpenAI API request?,Authentication > How Authentication Works,Responses API > Basic Request,Responses API > Responses API in RAG,Responses API > Request Components,Responses API > Example: Question Answering,Responses API > Understanding Input,0,0,0,0.0,text
What is the recommended way to store an OpenAI API key in Python applications?,Authentication > Storing API Keys Securely,Responses API > Responses API in RAG,Responses API > Basic Request,Responses API > Summary,Responses API > Overview,Responses API > Understanding Output,0,0,0,0.0,text
What are some possible causes of an invalid API key error?,Authentication > Common Errors > Invalid API Key,Responses API > Error Handling,Responses API > Responses API in RAG,Responses API > Example: Question Answering,Responses API > Basic Request,Responses API > Understanding Input,0,0,0,0.0,text
Can I expose my API key in browser JavaScript?,Authentication > FAQ > Can I expose my API key in browser JavaScript?,Responses API > Responses API in RAG,Responses API > Error Handling,Responses API > Basic Request,Responses API > Best Practices,Responses API > Summary,0,0,0,0.0,text
What types of applications commonly use embeddings?,Embeddings > Common Uses,Embeddings > FAQ > Can embeddings generate answers?,Embeddings > FAQ > Are embeddings readable?,Embeddings > Summary,Embeddings > Overview,Embeddings > Best Practices,0,0,0,0.0,text
What are the main steps in a typical RAG workflow that uses embeddings?,Embeddings > Typical RAG Workflow,Embeddings > Typical RAG Workflow,Embeddings > FAQ > Are embeddings readable?,Embeddings > Common Uses,Embeddings > FAQ > Can embeddings generate answers?,Embeddings > Overview,1,1,1,1.0,text
How is similarity search performed in an embeddings-based system?,Embeddings > Similarity Search,Embeddings > Similarity Search,Embeddings > FAQ > Can embeddings generate answers?,Embeddings > Creating an Embedding,Embeddings > FAQ > Are embeddings readable?,Embeddings > Overview,1,1,1,1.0,text
What should you do if you switch to a different embedding model?,Embeddings > Best Practices,Models > Model Categories > Embedding Models,Embeddings > Creating an Embedding,Models > FAQ > Which model should I use for RAG?,Models > Model Categories > Language Models,Models > Choosing a Model,0,0,0,0.0,text
Can embeddings generate answers directly?,Embeddings > FAQ > Can embeddings generate answers?,Embeddings > FAQ > Can embeddings generate answers?,Embeddings > FAQ > Are embeddings readable?,Embeddings > Summary,Embeddings > Overview,Embeddings > Creating an Embedding,1,1,1,1.0,text
What kinds of tasks can function calling help automate?,Function Calling > Common Use Cases,Function Calling > FAQ > Can I define multiple tools?,Function Calling > Overview,Function Calling > Summary,Function Calling > FAQ > Does the model execute my code?,Function Calling > Example Workflow,0,0,0,0.0,text
What are the steps involved in the basic function-calling workflow?,Function Calling > Basic Flow,Function Calling > FAQ > Does the model execute my code?,Function Calling > Basic Flow,Function Calling > Example Workflow,Function Calling > Overview,Function Calling > Summary,0,1,1,0.5,text
